shipment_id,donor_hospital,donor_lat,donor_lng,organ_type,export_time,recipient_hospital,recipient_lat,recipient_lng,transport_type
159,"West China Hospital (Chengdu, China)",30.65,104.0656,Lung,2026-02-12 11:22:46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,flight
160,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Liver,2026-02-13 21:08:46,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,ambulance
161,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Liver,2026-02-14 07:06:46,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,flight
162,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,Liver,2026-02-12 14:26:46,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,ambulance
163,Singapore General Hospital (Singapore),1.278,103.834,Lung,2026-02-14 04:16:46,"West China Hospital (Chengdu, China)",30.65,104.0656,flight
164,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Lung,2026-02-13 10:17:46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,ambulance
165,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Heart,2026-02-13 13:14:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,ambulance
166,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Heart,2026-02-12 15:02:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,ambulance
167,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Kidney,2026-02-13 07:39:46,"West China Hospital (Chengdu, China)",30.65,104.0656,helicopter
168,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Heart,2026-02-13 05:11:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,flight
169,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Kidney,2026-02-14 07:25:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,flight
170,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Liver,2026-02-14 03:33:46,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,ambulance
171,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Kidney,2026-02-13 19:02:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,flight
172,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Heart,2026-02-14 09:58:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,flight
173,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Kidney,2026-02-13 00:07:46,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,helicopter
174,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Liver,2026-02-12 13:43:46,"West China Hospital (Chengdu, China)",30.65,104.0656,ambulance
175,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Heart,2026-02-12 20:02:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,helicopter
176,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Liver,2026-02-14 08:56:46,Singapore General Hospital (Singapore),1.278,103.834,flight
177,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Heart,2026-02-14 03:34:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,flight
178,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Liver,2026-02-12 20:53:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,helicopter
179,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Kidney,2026-02-12 13:19:46,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,ambulance
180,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Heart,2026-02-13 18:41:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,helicopter
181,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Liver,2026-02-13 10:21:46,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,helicopter
182,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Lung,2026-02-14 00:00:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,flight
183,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Lung,2026-02-12 16:56:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,ambulance
184,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Liver,2026-02-14 00:51:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,flight
185,"West China Hospital (Chengdu, China)",30.65,104.0656,Liver,2026-02-13 06:50:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,ambulance
186,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Kidney,2026-02-12 23:59:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,flight
187,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Kidney,2026-02-13 16:06:46,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,helicopter
188,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,Kidney,2026-02-13 11:05:46,"West China Hospital (Chengdu, China)",30.65,104.0656,helicopter
189,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Liver,2026-02-14 01:07:46,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,flight
190,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Heart,2026-02-14 02:14:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,helicopter
191,Singapore General Hospital (Singapore),1.278,103.834,Kidney,2026-02-13 14:55:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,flight
192,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Liver,2026-02-13 03:25:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,helicopter
193,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Liver,2026-02-14 04:15:46,"West China Hospital (Chengdu, China)",30.65,104.0656,ambulance
194,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,Lung,2026-02-13 22:13:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,ambulance
195,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,Heart,2026-02-13 19:39:46,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,helicopter
196,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,Liver,2026-02-12 11:47:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,ambulance
197,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,Heart,2026-02-14 04:21:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,flight
198,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Heart,2026-02-14 10:24:46,Singapore General Hospital (Singapore),1.278,103.834,flight
199,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Liver,2026-02-12 10:49:46,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,flight
200,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,Lung,2026-02-12 11:01:46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,flight
201,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,Liver,2026-02-14 10:08:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,ambulance
202,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,Liver,2026-02-14 04:29:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,ambulance
203,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Heart,2026-02-14 01:18:46,"West China Hospital (Chengdu, China)",30.65,104.0656,helicopter
204,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Heart,2026-02-12 10:54:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,ambulance
205,"West China Hospital (Chengdu, China)",30.65,104.0656,Lung,2026-02-12 15:35:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,flight
206,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Heart,2026-02-13 07:09:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,helicopter
207,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Kidney,2026-02-13 19:29:46,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,flight
208,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Kidney,2026-02-12 16:27:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,flight
209,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Liver,2026-02-12 20:49:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,ambulance
210,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Heart,2026-02-13 04:45:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,helicopter
211,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Liver,2026-02-13 18:47:46,"West China Hospital (Chengdu, China)",30.65,104.0656,helicopter
212,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Liver,2026-02-13 07:01:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,helicopter
213,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,Heart,2026-02-13 23:34:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,ambulance
214,"West China Hospital (Chengdu, China)",30.65,104.0656,Lung,2026-02-13 02:46:46,Singapore General Hospital (Singapore),1.278,103.834,helicopter
215,"West China Hospital (Chengdu, China)",30.65,104.0656,Heart,2026-02-13 13:33:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,helicopter
216,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,Lung,2026-02-14 03:25:46,"West China Hospital (Chengdu, China)",30.65,104.0656,ambulance
217,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Liver,2026-02-12 13:56:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,ambulance
218,Singapore General Hospital (Singapore),1.278,103.834,Heart,2026-02-14 05:44:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,flight
219,Singapore General Hospital (Singapore),1.278,103.834,Heart,2026-02-13 07:08:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,flight
220,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Liver,2026-02-12 12:55:46,"West China Hospital (Chengdu, China)",30.65,104.0656,helicopter
221,Singapore General Hospital (Singapore),1.278,103.834,Heart,2026-02-14 09:01:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,ambulance
222,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Heart,2026-02-13 11:35:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,helicopter
223,"West China Hospital (Chengdu, China)",30.65,104.0656,Lung,2026-02-12 20:44:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,flight
224,Singapore General Hospital (Singapore),1.278,103.834,Heart,2026-02-13 18:16:46,"West China Hospital (Chengdu, China)",30.65,104.0656,helicopter
225,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Heart,2026-02-12 16:43:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,helicopter
226,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Lung,2026-02-12 13:42:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,helicopter
227,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Liver,2026-02-13 14:11:46,"West China Hospital (Chengdu, China)",30.65,104.0656,flight
228,"West China Hospital (Chengdu, China)",30.65,104.0656,Kidney,2026-02-14 09:39:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,ambulance
229,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Kidney,2026-02-13 18:45:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,helicopter
230,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Heart,2026-02-13 10:13:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,ambulance
231,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Heart,2026-02-13 07:16:46,Singapore General Hospital (Singapore),1.278,103.834,flight
232,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Lung,2026-02-14 11:17:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,helicopter
233,"West China Hospital (Chengdu, China)",30.65,104.0656,Lung,2026-02-13 20:06:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,helicopter
234,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Kidney,2026-02-13 20:58:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,ambulance
235,"West China Hospital (Chengdu, China)",30.65,104.0656,Liver,2026-02-12 21:16:46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,helicopter
236,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Liver,2026-02-13 07:48:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,helicopter
237,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Liver,2026-02-13 00:29:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,helicopter
238,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Lung,2026-02-12 21:43:46,Singapore General Hospital (Singapore),1.278,103.834,helicopter
239,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Heart,2026-02-13 06:17:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,helicopter
240,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Lung,2026-02-12 22:17:46,"West China Hospital (Chengdu, China)",30.65,104.0656,helicopter
241,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Liver,2026-02-13 15:58:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,ambulance
242,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Kidney,2026-02-13 10:51:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,flight
243,"West China Hospital (Chengdu, China)",30.65,104.0656,Heart,2026-02-14 01:20:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,helicopter
244,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Kidney,2026-02-13 19:09:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,ambulance
245,"West China Hospital (Chengdu, China)",30.65,104.0656,Kidney,2026-02-13 15:04:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,ambulance
246,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Liver,2026-02-12 22:18:46,Singapore General Hospital (Singapore),1.278,103.834,helicopter
247,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Kidney,2026-02-13 11:26:46,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,helicopter
248,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Kidney,2026-02-14 01:14:46,"West China Hospital (Chengdu, China)",30.65,104.0656,flight
249,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Liver,2026-02-12 15:12:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,helicopter
250,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,Liver,2026-02-13 11:13:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,ambulance
251,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Heart,2026-02-13 19:14:46,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,helicopter
252,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,Lung,2026-02-13 15:06:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,flight
253,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,Lung,2026-02-14 01:47:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,helicopter
254,Singapore General Hospital (Singapore),1.278,103.834,Heart,2026-02-13 18:54:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,helicopter
255,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Liver,2026-02-14 00:22:46,Singapore General Hospital (Singapore),1.278,103.834,ambulance
256,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Lung,2026-02-13 17:26:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,helicopter
257,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,Liver,2026-02-13 08:06:46,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,flight
258,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Lung,2026-02-12 22:34:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,flight
259,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Heart,2026-02-13 16:42:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,helicopter
260,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Kidney,2026-02-14 03:30:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,helicopter
261,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Liver,2026-02-12 23:35:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,helicopter
262,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Lung,2026-02-14 09:34:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,ambulance
263,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Lung,2026-02-12 19:18:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,ambulance
264,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Liver,2026-02-12 22:33:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,helicopter
265,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Kidney,2026-02-12 15:10:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,flight
266,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,Heart,2026-02-12 23:22:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,helicopter
267,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Heart,2026-02-13 13:03:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,helicopter
268,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Heart,2026-02-12 21:55:46,Singapore General Hospital (Singapore),1.278,103.834,ambulance
269,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Kidney,2026-02-13 01:21:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,helicopter
270,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Heart,2026-02-14 09:32:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,flight
271,"West China Hospital (Chengdu, China)",30.65,104.0656,Liver,2026-02-13 09:03:46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,helicopter
272,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Liver,2026-02-12 22:09:46,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,helicopter
273,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Heart,2026-02-13 18:47:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,helicopter
274,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Kidney,2026-02-14 10:39:46,"West China Hospital (Chengdu, China)",30.65,104.0656,ambulance
275,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Liver,2026-02-13 00:31:46,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,ambulance
276,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Liver,2026-02-12 20:34:46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,ambulance
277,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Heart,2026-02-12 12:34:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,ambulance
278,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Kidney,2026-02-14 03:29:46,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,flight
279,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Liver,2026-02-13 10:23:46,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,flight
280,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Lung,2026-02-12 13:20:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,helicopter
281,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Liver,2026-02-13 04:03:46,"West China Hospital (Chengdu, China)",30.65,104.0656,flight
282,Singapore General Hospital (Singapore),1.278,103.834,Kidney,2026-02-12 18:29:46,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,helicopter
283,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Lung,2026-02-14 06:37:46,Singapore General Hospital (Singapore),1.278,103.834,helicopter
284,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Kidney,2026-02-13 20:51:46,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,ambulance
285,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Kidney,2026-02-14 03:55:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,helicopter
286,"West China Hospital (Chengdu, China)",30.65,104.0656,Liver,2026-02-12 21:45:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,helicopter
287,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Heart,2026-02-13 10:53:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,ambulance
288,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Lung,2026-02-14 10:33:46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,ambulance
289,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Kidney,2026-02-13 21:48:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,helicopter
290,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Kidney,2026-02-14 08:22:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,ambulance
291,"West China Hospital (Chengdu, China)",30.65,104.0656,Heart,2026-02-13 06:28:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,flight
292,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Heart,2026-02-14 06:53:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,ambulance
293,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Heart,2026-02-13 03:19:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,flight
294,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Heart,2026-02-13 06:15:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,ambulance
295,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Kidney,2026-02-13 14:20:46,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,flight
296,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Kidney,2026-02-14 11:08:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,helicopter
297,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Heart,2026-02-13 12:13:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,flight
298,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Kidney,2026-02-13 14:18:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,flight
299,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Liver,2026-02-14 05:29:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,flight
300,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Heart,2026-02-14 00:09:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,flight
301,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Liver,2026-02-14 02:50:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,helicopter
302,Singapore General Hospital (Singapore),1.278,103.834,Liver,2026-02-14 05:20:46,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,flight
303,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Kidney,2026-02-12 14:44:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,ambulance
304,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Kidney,2026-02-14 02:40:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,ambulance
305,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Liver,2026-02-12 17:11:46,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,helicopter
306,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Lung,2026-02-14 09:29:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,flight
307,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Kidney,2026-02-14 11:07:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,flight
308,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Liver,2026-02-12 15:39:46,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,ambulance
309,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,Liver,2026-02-13 03:24:46,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,helicopter
310,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Kidney,2026-02-14 10:34:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,helicopter
311,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Lung,2026-02-12 16:07:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,helicopter
312,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Liver,2026-02-13 00:19:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,flight
313,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Kidney,2026-02-13 10:27:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,flight
314,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Liver,2026-02-14 08:09:46,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,flight
315,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Heart,2026-02-12 12:04:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,helicopter
316,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Heart,2026-02-14 07:27:46,Singapore General Hospital (Singapore),1.278,103.834,ambulance
